Section,Starting_x,Starting_y,End_x,End_y
5,-747.250076,-737.842264,-751.962399,-736.203433
5,-751.962399,-736.203433,-756.567928,-734.332859
5,-756.567928,-734.332859,-761.037024,-732.179709
5,-761.037024,-732.179709,-765.348434,-729.712699
5,-765.348434,-729.712699,-769.510997,-726.970691
5,-769.510997,-726.970691,-773.540296,-724.008278
5,-773.540296,-724.008278,-777.451594,-720.879325
5,-777.451594,-720.879325,-781.250078,-717.614920
5,-781.250078,-717.614920,-784.929109,-714.219423
5,-784.929109,-714.219423,-788.481371,-710.695662
5,-788.481371,-710.695662,-791.899550,-707.046469
5,-791.899550,-707.046469,-795.176330,-703.274676
5,-795.176330,-703.274676,-798.304397,-699.383111
5,-798.304397,-699.383111,-801.276451,-695.374617
5,-801.276451,-695.374617,-804.087253,-691.253330
5,-804.087253,-691.253330,-806.735687,-687.025986
5,-806.735687,-687.025986,-809.221127,-682.699626
5,-809.221127,-682.699626,-811.542949,-678.281293
5,-811.542949,-678.281293,-813.700527,-673.778031
5,-813.700527,-673.778031,-815.693236,-669.196883
5,-815.693236,-669.196883,-817.520451,-664.544891
5,-817.520451,-664.544891,-819.181546,-659.829099
5,-819.181546,-659.829099,-820.675897,-655.056549
5,-820.675897,-655.056549,-822.002878,-650.234284
5,-822.002878,-650.234284,-823.161863,-645.369348
5,-823.161863,-645.369348,-824.152228,-640.468783
5,-824.152228,-640.468783,-824.973348,-635.539631
5,-824.973348,-635.539631,-825.624596,-630.588937
5,-825.624596,-630.588937,-826.106419,-625.623317
5,-826.106419,-625.623317,-826.426190,-620.646624
5,-826.426190,-620.646624,-826.594045,-615.661615
5,-826.594045,-615.661615,-826.620124,-610.671041
5,-826.620124,-610.671041,-826.514571,-605.677654
5,-826.514571,-605.677654,-826.287527,-600.684205
5,-826.287527,-600.684205,-825.949134,-595.693447
5,-825.949134,-595.693447,-825.509503,-590.708134
5,-825.509503,-590.708134,-824.974739,-585.731163
5,-824.974739,-585.731163,-824.342996,-580.765724
5,-824.342996,-580.765724,-823.611495,-575.815040
5,-823.611495,-575.815040,-822.777455,-570.882335
6,-822.777455,-570.882335,-821.838097,-565.970832
6,-821.838097,-565.970832,-820.790638,-561.083754
6,-820.790638,-561.083754,-819.632301,-556.224325
6,-819.632301,-556.224325,-818.361363,-551.395348
6,-818.361363,-551.395348,-816.979834,-546.598152
6,-816.979834,-546.598152,-815.490543,-541.833743
6,-815.490543,-541.833743,-813.896317,-537.103127
6,-813.896317,-537.103127,-812.199985,-532.407309
6,-812.199985,-532.407309,-810.404374,-527.747293
6,-810.404374,-527.747293,-808.512313,-523.124087
6,-808.512313,-523.124087,-806.526630,-518.538694
6,-806.526630,-518.538694,-804.450153,-513.992120
6,-804.450153,-513.992120,-802.285711,-509.485372
6,-802.285711,-509.485372,-800.036131,-505.019453
6,-800.036131,-505.019453,-797.704241,-500.595369
6,-797.704241,-500.595369,-795.292871,-496.214127
6,-795.292871,-496.214127,-792.804847,-491.876730
6,-792.804847,-491.876730,-790.243441,-487.583792
6,-790.243441,-487.583792,-787.617522,-483.330950
6,-787.617522,-483.330950,-784.939801,-479.110431
6,-784.939801,-479.110431,-782.223062,-474.914397
6,-782.223062,-474.914397,-779.480089,-470.735007
6,-779.480089,-470.735007,-776.723667,-466.564422
6,-776.723667,-466.564422,-773.966580,-462.394802
6,-773.966580,-462.394802,-771.221613,-458.218308
6,-771.221613,-458.218308,-768.498294,-454.029040
6,-768.498294,-454.029040,-765.794716,-449.827905
6,-765.794716,-449.827905,-763.106471,-445.617300
6,-763.106471,-445.617300,-760.429148,-441.399625
6,-760.429148,-441.399625,-757.758335,-437.177279
6,-757.758335,-437.177279,-755.089621,-432.952660
6,-755.089621,-432.952660,-752.418598,-428.728166
6,-752.418598,-428.728166,-749.741373,-424.505938
6,-749.741373,-424.505938,-747.057408,-420.286442
6,-747.057408,-420.286442,-744.367491,-416.069486
6,-744.367491,-416.069486,-741.672413,-411.854874
6,-741.672413,-411.854874,-738.972966,-407.642411
6,-738.972966,-407.642411,-736.269941,-403.431902
6,-736.269941,-403.431902,-733.564129,-399.223150
6,-733.564129,-399.223150,-730.856322,-395.015962
6,-730.856322,-395.015962,-728.147311,-390.810141
6,-728.147311,-390.810141,-725.437888,-386.605492
6,-725.437888,-386.605492,-722.728844,-382.401821
6,-722.728844,-382.401821,-720.020970,-378.198930
6,-720.020970,-378.198930,-717.315058,-373.996626
6,-717.315058,-373.996626,-714.611899,-369.794713
6,-714.611899,-369.794713,-711.912262,-365.592994
6,-711.912262,-365.592994,-709.216251,-361.391228
6,-709.216251,-361.391228,-706.523195,-357.189120
6,-706.523195,-357.189120,-703.832380,-352.986374
7,-703.832380,-352.986374,-701.143094,-348.782692
7,-701.143094,-348.782692,-698.454624,-344.577779
7,-698.454624,-344.577779,-695.766254,-340.371337
7,-695.766254,-340.371337,-693.077274,-336.163070
7,-693.077274,-336.163070,-690.386968,-331.952681
7,-690.386968,-331.952681,-687.694624,-327.739873
7,-687.694624,-327.739873,-684.999528,-323.524349
7,-684.999528,-323.524349,-682.300968,-319.305813
7,-682.300968,-319.305813,-679.598229,-315.083968
7,-679.598229,-315.083968,-676.890598,-310.858516
7,-676.890598,-310.858516,-674.177363,-306.629162
7,-674.177363,-306.629162,-671.455302,-302.398382
7,-671.455302,-302.398382,-668.689454,-298.203784
7,-668.689454,-298.203784,-665.823065,-294.107088
7,-665.823065,-294.107088,-662.798959,-290.170487
7,-662.798959,-290.170487,-659.559957,-286.456173
7,-659.559957,-286.456173,-656.048881,-283.026339
7,-656.048881,-283.026339,-652.208553,-279.943178
7,-652.208553,-279.943178,-647.984935,-277.268842
7,-647.984935,-277.268842,-643.418375,-275.064268
7,-643.418375,-275.064268,-638.656040,-273.387256
7,-638.656040,-273.387256,-633.797982,-272.244210
7,-633.797982,-272.244210,-628.883060,-271.587122
7,-628.883060,-271.587122,-623.942620,-271.390331
7,-623.942620,-271.390331,-619.006362,-271.638106
7,-619.006362,-271.638106,-614.103971,-272.314719
7,-614.103971,-272.314719,-609.263605,-273.402475
7,-609.263605,-273.402475,-604.510463,-274.879861
7,-604.510463,-274.879861,-599.869406,-276.724930
7,-599.869406,-276.724930,-595.365296,-278.915734
7,-595.365296,-278.915734,-591.022993,-281.430325
7,-591.022993,-281.430325,-586.867359,-284.246755
7,-586.867359,-284.246755,-582.923255,-287.343076
7,-582.923255,-287.343076,-579.211784,-290.697653
7,-579.211784,-290.697653,-575.741206,-294.289923
7,-575.741206,-294.289923,-572.517038,-298.099549
7,-572.517038,-298.099549,-569.544797,-302.106198
7,-569.544797,-302.106198,-566.830002,-306.289532
7,-566.830002,-306.289532,-564.378169,-310.629217
7,-564.378169,-310.629217,-562.194816,-315.104918
7,-562.194816,-315.104918,-560.284368,-319.697001
7,-560.284368,-319.697001,-558.644443,-324.390215
7,-558.644443,-324.390215,-557.270037,-329.170993
7,-557.270037,-329.170993,-556.156141,-334.025771
7,-556.156141,-334.025771,-555.297749,-338.940985
7,-555.297749,-338.940985,-554.689850,-343.903073
7,-554.689850,-343.903073,-554.327438,-348.898471
7,-554.327438,-348.898471,-554.205504,-353.913616
7,-554.205504,-353.913616,-554.319039,-358.934944
7,-554.319039,-358.934944,-554.663035,-363.948892
7,-554.663035,-363.948892,-555.232485,-368.941896
7,-555.232485,-368.941896,-556.022379,-373.900393
7,-556.022379,-373.900393,-557.027709,-378.810820
7,-557.027709,-378.810820,-558.243467,-383.659614
7,-558.243467,-383.659614,-559.664482,-388.433517
7,-559.664482,-388.433517,-561.280946,-393.128037
7,-561.280946,-393.128037,-563.077849,-397.748504
7,-563.077849,-397.748504,-565.039908,-402.300766
7,-565.039908,-402.300766,-567.151840,-406.790676
7,-567.151840,-406.790676,-569.398360,-411.224081
7,-569.398360,-411.224081,-571.764184,-415.606833
8,-571.764184,-415.606833,-574.234029,-419.944782
8,-574.234029,-419.944782,-576.792612,-424.243777
8,-576.792612,-424.243777,-579.424648,-428.509668
8,-579.424648,-428.509668,-582.114853,-432.748306
8,-582.114853,-432.748306,-584.847944,-436.965540
8,-584.847944,-436.965540,-587.608637,-441.167220
8,-587.608637,-441.167220,-590.381648,-445.359197
8,-590.381648,-445.359197,-593.151694,-449.547321
8,-593.151694,-449.547321,-595.904382,-453.737132
8,-595.904382,-453.737132,-598.636046,-457.930457
8,-598.636046,-457.930457,-601.350111,-462.126665
8,-601.350111,-462.126665,-604.050132,-466.325084
8,-604.050132,-466.325084,-606.739659,-470.525037
8,-606.739659,-470.525037,-609.422247,-474.725852
8,-609.422247,-474.725852,-612.101447,-478.926854
8,-612.101447,-478.926854,-614.780813,-483.127369
8,-614.780813,-483.127369,-617.463897,-487.326723
8,-617.463897,-487.326723,-620.154251,-491.524242
8,-620.154251,-491.524242,-622.855429,-495.719251
8,-622.855429,-495.719251,-625.570983,-499.911077
8,-625.570983,-499.911077,-628.304466,-504.099046
8,-628.304466,-504.099046,-631.059429,-508.282483
8,-631.059429,-508.282483,-633.839332,-512.460738
8,-633.839332,-512.460738,-636.636826,-516.635851
8,-636.636826,-516.635851,-639.424000,-520.814983
9,-639.424000,-520.814983,-642.170635,-525.005869
9,-642.170635,-525.005869,-644.846794,-529.216163
9,-644.846794,-529.216163,-647.454525,-533.444157
9,-647.454525,-533.444157,-650.056771,-537.670322
9,-650.056771,-537.670322,-652.723305,-541.873131
9,-652.723305,-541.873131,-655.515877,-546.033897
9,-655.515877,-546.033897,-658.399667,-550.168122
9,-658.399667,-550.168122,-661.275967,-554.313932
9,-661.275967,-554.313932,-664.044924,-558.509853
9,-664.044924,-558.509853,-666.606689,-562.794414
9,-666.606689,-562.794414,-668.861412,-567.206141
9,-668.861412,-567.206141,-670.709241,-571.783564
9,-670.709241,-571.783564,-672.051368,-576.562784
9,-672.051368,-576.562784,-672.818172,-581.511859
9,-672.818172,-581.511859,-672.972489,-586.523189
9,-672.972489,-586.523189,-672.478851,-591.485223
9,-672.478851,-591.485223,-671.308288,-596.292309
9,-671.308288,-596.292309,-669.471146,-600.874471
9,-669.471146,-600.874471,-666.992476,-605.175075
9,-666.992476,-605.175075,-663.897610,-609.137152
9,-663.897610,-609.137152,-660.238147,-612.667403
9,-660.238147,-612.667403,-656.114119,-615.605523
9,-656.114119,-615.605523,-651.630784,-617.783982
9,-651.630784,-617.783982,-646.892747,-619.052693
9,-646.892747,-619.052693,-641.997317,-619.457258
9,-641.997317,-619.457258,-637.037217,-619.166246
9,-637.037217,-619.166246,-632.105091,-618.350122
9,-632.105091,-618.350122,-627.270593,-617.155934
9,-627.270593,-617.155934,-622.530437,-615.656416
9,-622.530437,-615.656416,-617.866903,-613.909595
9,-617.866903,-613.909595,-613.262270,-611.973500
9,-613.262270,-611.973500,-608.698816,-609.906160
9,-608.698816,-609.906160,-604.158822,-607.765603
9,-604.158822,-607.765603,-599.624567,-605.609857
9,-599.624567,-605.609857,-595.078732,-603.495612
9,-595.078732,-603.495612,-590.514222,-601.445562
9,-590.514222,-601.445562,-585.934725,-599.446545
9,-585.934725,-599.446545,-581.344445,-597.483683
9,-581.344445,-597.483683,-576.747584,-595.542099
9,-576.747584,-595.542099,-572.148347,-593.606917
10,-572.148347,-593.606917,-567.550936,-591.663259
10,-567.550936,-591.663259,-562.959531,-589.696332
10,-562.959531,-589.696332,-558.376249,-587.699015
10,-558.376249,-587.699015,-553.799500,-585.677938
10,-553.799500,-585.677938,-549.227312,-583.641160
10,-549.227312,-583.641160,-544.657711,-581.596739
10,-544.657711,-581.596739,-540.088726,-579.552737
10,-540.088726,-579.552737,-535.518382,-577.517210
10,-535.518382,-577.517210,-530.944707,-575.498219
